0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:27:45 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:27:48 +0700] "GET /lab10-secured-app/staff/products HTTP/1.1" 200 6368
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:27:51 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:27:53 +0700] "GET /lab10-secured-app/auth?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:27:54 +0700] "GET /lab10-secured-app/login.jsp HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:33 +0700] "POST /lab10-secured-app/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:33 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:35 +0700] "GET /lab10-secured-app/user/profile.jsp HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:43 +0700] "POST /lab10-secured-app/auth HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:46 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:51 +0700] "GET /lab10-secured-app/auth?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:31:51 +0700] "GET /lab10-secured-app/login.jsp HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:00 +0700] "POST /lab10-secured-app/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:00 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:05 +0700] "GET /lab10-secured-app/staff/products HTTP/1.1" 200 6368
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:11 +0700] "GET /lab10-secured-app/staff/products?action=delete&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:11 +0700] "GET /lab10-secured-app/staff/products HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:15 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:17 +0700] "GET /lab10-secured-app/admin/users HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:48 +0700] "POST /lab10-secured-app/admin/users HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:48 +0700] "GET /lab10-secured-app/admin/users HTTP/1.1" 200 8526
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:51 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:53 +0700] "GET /lab10-secured-app/auth?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:32:53 +0700] "GET /lab10-secured-app/login.jsp HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:33:01 +0700] "POST /lab10-secured-app/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:33:01 +0700] "GET /lab10-secured-app/dashboard.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:33:04 +0700] "GET /lab10-secured-app/auth?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2026:13:33:04 +0700] "GET /lab10-secured-app/login.jsp HTTP/1.1" 200 1612
